,message,label,split,clean_message
0,Пиздабол ещё тот,True,train,пиздабол ещ
1,"Заколебали кукарекать, скоро весь пульс будет этими вафлерами забил.",True,train,заколебать кукарекать скоро весь пульс этот вафлера забить
2,На деле собака сутулая,True,train,дело собака сутулый
3,Пшнх от сюда тварь,True,train,пшнх сюда тварь
4,"плати за мое молчание клоп , сутки молчу 200 баксов",True,train,платить мой молчание клоп сутки молчать бакс
5,"Как же вы замучили уже, пидарасы",True,train,замучить пидарас
7,Мудазвон хватит мусорить. Жалуйтесь на таких в техподдержку,True,train,мудазвон хватить мусорить жаловаться такой техподдержка
10,Опять это мудачьё грабит наше время.,True,train,это мудачить грабить наш время
11,У меня -10% по этой бумаге. Она одна такая вниз тянет. В семье не без урода:),True,train,бумага один такой вниз тянуть семья урод
12,"Ты же сидлый за братву топишь)! А теперь пусть мусора прикроют, мусорами кроешь?",True,train,сидлый братва топить пусть мусор прикрыть мусор крыть
13,"может на тебя х.. Й все положили на тупого  дегенерата как ты! На учись ВЕЖВЛЕВО общаться, а не оскорбить других для начала!",True,train,х й положить тупой дегенерат учиться вежвлево общаться оскорбить другой начало
14,Хватит спамить эту хренатень!,True,valid,хватить спамить хренатень
15,"Ну а коли начал с того, что назвал людей клоунами - получай свой заслуженный ушат говна в качестве доната ?",True,train,коли начать назвать человек клоун получать свой заслужить ушатый говно качество донат
16,"кукан из куканов, даже к бабке не ходи. кто на хаях взял-труба),  ранним нет повода грустить",True,train,кукан кукан бабка ходить хая взять труба ранний повод грустить
17,"ты дурак?) gigafactory1. Я тут понял, что ты совсем ничего про теслу не знаешь...",True,train,дурак gigafactory понять тесло знать
19,Пожаловался на этого чепушилу,True,valid,пожаловаться чепушило
20,"только сегодня прислушался тут к двум дятлам-стукачам. А знал ведь, что не надо. Учитесь на чужих ошибках. Да хоть на моей. Не слушайте идиотов, они всегда в пролёте. Меня тоже не слушайте))",True,train,сегодня прислушаться два дятел стукач знать учиться чужой ошибка мой слушайте идиот прол тот слушайте
21,"так эти анальные мазохисты для того и постят свой спам, чтобы их тут откуесосили. А нам не жалко)",True,train,анальный мазохист постить свой спам откуесосить мы жалко
24,очередная побирушка высралась,True,train,очередной побирушка высраться
26,Генер шлюху трахнул,True,train,генера шлюха трахнуть
27,Вот дебил,True,train,дебил
28,"ты тупой, чтобы наглядно показать,что под черепом у тебя кроме дерьма ничего нет. Скройся обоссанный",True,valid,тупой наглядно показать череп кроме дерьмо скрыться обоссанный
29,В бан тупичку.,True,train,бан тупичок
33,ты тормознутая кака то! Ахахахах,True,train,тормознуть кака ахахахи
34,У пиздэ,True,train,пиздэ
35,"Блин, ну каким надо всё-таки быть чмошником, чтобы вот так по указке какого-то лоховода вот так прилюдно позориться?????????????",True,train,блин какой вс таки чмошник указка какой лоховод прилюдно позориться
37,Пидоры посадили,True,train,пидор посадить
39,Сенодня кто-то в очередной раз лизнул потный пуканчик желторотых .,True,train,сенодень очередной лизнуть потный пуканчик желторотый
40,"я же говорю - слишком ты борзый для попрошайки. Да и слишком тупой. Школьник только про школу и может написать, неудивительно? ",True,valid,говорить слишком борзый попрошайка слишком тупой школьник школа написать неудивительный
43,"ты оскарблять тебе курица ты тупая в курятнике петуха который тебя топчит, а здесь пиши нармально раз тебе тупоголоваму дырявому дятлу дали возможность",True,train,оскарблять ты курица тупой курятник петух который топчить писать нармальный ты тупоголовам дырявый дятел дать возможность
44,ну чё подтерся) я вчера продал сегодня купил. А ты походу этому треку изначально....если так на него обижен. Лошара,True,train,ч подтереться вчера продать сегодня купить поход этот трек изначально обиженный лошара
46,"да бесят такие нытики. Нашли, кого во всех грехах обвинять",True,train,бесить такой нытик наслать кто грех обвинять
48,"Полезный пост для тех мудил, которые трахают мозг, а что и почему??",True,train,полезный пост тот мудила который трахать мозг почему
49,Вы уже поднадоели обсосы тупорогие...,True,train,поднадоесть обсоса тупорогий
50,"Свинолюбы,  почему вы едите эту грязную тварь? Она же своё говно даже ест, мышей, тараканов.... фууууууу",True,train,свинолюба почему есть грязный тварь сво говно есть мышь таракан фууууууа
51,Что ты тут выложил?  Тут же не только дебилы сидят...,True,train,выложить дебил сидеть
53,Да какого куя,True,train,какой ковать
55,Сосите хуй все кто тут пишет... Сборище пидорасов...,True,train,сосать хуй писать сборище пидорас
59,"смотрю совсем нечего сказать?? А что ты и кому пытаешься доказать вообще? То, что ты ряженый петух у которого пробился голосок? - Ну, в этом ты явно преуспел. Я тебе ничего хорошего желать не собираюсь. Это подло как-то.",True,valid,смотреть нечего сказать кто пытаться доказать вообще ряженый петух который пробиться голосок явно преуспеть ты хороший желать собираться это подло
60,Петушара,True,train,петушара
65,Когда уже это бомжару подстрелят,True,train,это бомжара подстрелить
70,тебя уже поставили и сосать предлагают),True,valid,поставить сосать предлагать
71,Это развопотный патерн придурки,True,train,это развопотный патёрн придурок
73,не стоишь ты внимания клон...пререобуваешся на ходу из кед в лапти как тебе удобно...людей жалко которых ты на бабки засадил...еще и денег за канал требуешь,True,valid,стоить внимание клон пререобуваешся ход кед лапоть ты удобно человек жалко который бабка засадить деньга канал требовать
74,"Хз, но перед пендосами должен стрельнуть",True,train,хз пендос должный стрельнуть
75,Малина это пиздец,True,train,малина это пиздец
76,Вот пидоры а,True,valid,пидор
77,Агутин хомяк ?или к чему этот пост ?,True,valid,агутиный хомяк что пост
79,"Шлюха, а не акция! Третий месяц валится, хотя нефть на месте стоит около 40 бачинских.",True,train,шлюха акция третий месяц валиться хотя нефть место стоить около бачинский
82,"Кокая гора,слив,набирает долбоё......,кто верит а эту папиру",True,train,кокать гора слив набирать долбо верить папир
83,Он тупой паникёр и надо ждать до 21,True,valid,тупой паника р ждать
85,"сегодня что, всех чмошников из дурки выпустили? иди в жопу, спамер тупой",True,train,сегодня чмошник дурка выпустить идти жопа спамер тупой
86,"лол, опять это чмо вылезло со своими сказками",True,train,лола это чмо вылезти свой сказка
88,Хохлы и поляки всегда были предателями . Зачем их прощать,True,train,хохол поляк предатель прощать
93,Это же каким тупым Нада быть чтобы ставить туда продажу,True,train,это какой тупой нада ставить туда продажа
97,Потому что шизофреники,True,valid,шизофреник
99,Обленились сволочи,True,train,облениться сволочь
101,Тащят пендосы,True,train,тащить пендос
102,Все летит в пизду,True,train,лететь пизда
104,Пока пендосы не проснутся - все движения цены- это предрассветная дымка,True,train,пока пендос проснуться движение цена это предрассветный дымка
105,"бог? Ахахазха ну ты канеш горное чучело, ещё скажи в дядьку на небе веришь и акции при жтом покупаешь лооол",True,train,бог ахахазха канеш горный чучело ещ сказать дядька небо верить акция жтом покупать лооол
106,"Плюсану, таких дурачков со своими откровениями слишком много стало, дебилы пля",True,train,плюсан такой дурачок свой откровение слишком стать дебил пля
107,"В отличие от тебя дурачка, мы нефть шортили",True,train,отличие дурачок нефть шортить
111,"Кто же такой умный? Явно не русня. Блеснул интеллектом, пост написал ?",True,valid,умный явно руснить блеснуть интеллект пост написать
114,Да пошли они нахер. Такая пропаганда нам не нужна,True,train,послать нахер такой пропаганда мы нужный
116,потому что дебилы б...,True,train,дебил б
120,"прочитал по диагонали твой высер (всё по методичке), вывод-иди на хой, тупой навальнёнок :)) Шаблонь мудила в чате у чаки, вам там самое место и коллектив ))) А если ваши говна разгребать-как всегда, окажется, ложь, пиздёжь и вбросы.",True,train,прочитать диагональ твой высера вс методичка вывод идти хой тупой навальна нок шаблонь мудила чат чак самый место коллектив ваш говно разгребать оказаться ложь пизда жь вброс
122,ну значит находятся дебилы которые переводят,True,train,значит находиться дебил который переводить
123,Такая же херня?,True,train,такой херня
126,Спамер херов,True,train,спамер хер
129,Пшнх твар,True,train,пшнх твар
131,достали мудаки,True,train,достать мудак
133,сам ты тупое нытьё. ,True,train,тупой ныть
137,Долбаные сектанты,True,train,долбаный сектант
138,Ссыкуны уже все повыходили))),True,train,ссыкун повыходить
141,"Щас пендосы придут,крови сеня будет много",True,train,сейчас пендос прийти кровь сеня
142,Этих дегенератов только банить,True,valid,этот дегенерат банить
144,да бабки отнимают у хомяков у нас,True,train,бабка отнимать хомяк
145,Олежа пиздабол,True,train,олёжа пиздабол
146,"Вы с командой за**али уже всех, проведите в своем педокружке массовое самоубийство дебилы",True,train,команда али провести свой педокружка массовый самоубийство дебил
147,Пидарас воду мутит,True,train,пидарас вода мутить
155,Пидарасы вы российские,True,train,пидарас российский
156,"В вагон не пускать, гнать ссаными тряпками?",True,train,вагон пускать гнать ссаный тряпка
157,"гадит гадёныш, постоянно ?",True,train,гадить гад ныш постоянно
160,"просто признать, что ты лох и тебя имеют каждый день, не очень просто)",True,valid,просто признать лох иметь каждый день очень просто
161,"Смешной ты. Я вот в твой адрес ерунды не писал и без претензий. Ну мне как бы все равно. А ты решил с подь...м написать мне, показать свой интеллектуальный уровень, сарказм...Обосрался, как и все и потом типа, все все...не реагируй так остро. Для начала, может в зеркало посмотришь?)))",True,train,смешной твой адрес ерунда писать претензия равно решить подь м написать показать свой интеллектуальный уровень сарказм обосраться тип реагировать остро начало зеркало посмотреть
162,Откуда такие дебилы берутся...,True,train,откуда такой дебил браться
164,- Какой космонаут?! -Козмонот еба???,True,valid,космонаут козмонота еба
165,ты как пидор лагерный только на расстоянии герой питушара,True,valid,пидор лагерный расстояние герой питушара
169,И один хер продать не сможем) но вверх она дернет),True,train,хер продать смочь вверх дёрнуть
170,Да просто дебил как говорится один раз не пидораз,True,train,просто дебил говориться пидораз
178,вот кобра!,True,valid,кобра
179,Вы че издеваетесь сволочи? Каждый третий пост этот вопрос я уже не могу!!!,True,train,че издеваться сволочь каждый третий пост вопрос мочь
180,Выпусти своего кракена и успокойся,True,train,выпустить свой кракен успокоиться
181,Как эта сволота попадает в интересные посты? ,True,train,этот сволот попадать интересный пост
182,"Пульсофициал, вы слепошарые рукожопы.",True,train,пульсофициал слепошарый рукожопа
187,И здесь про этого дибила начали писать! В расход этот кусок говна!,True,train,дибить начать писать расход кусок говно
188,Навальный убийца,True,train,навальный убийца
189,"Это не приложение это пиздец какой-то. Пока оно тупит теряешь деньги. Ну Тиньков в своем репертуаре,  эта хрень ещё с пива начиналась.",True,train,это приложение это пиздец пока оно тупить терять деньга тиньковы свой репертуар этот хрень ещ пиво начинаться
191,?дебилы,True,train,дебил
193,они дебилы,True,train,дебил
195,"? НОРНИКЕЛЬ ОЖИДАЕТ В 2020 Г ДЕФИЦИТА НА РЫНКЕ ПАЛЛАДИЯ В ОБЪЕМЕ 0,9 МЛН УНЦИЙ - КОМПАНИЯ, копипаст, ну не идиоты там, а пандемии ещё нет, а если и будет, то это уже охренеть какой черный лебедь",True,train,норникель ожидать г дефицит рынок палладий объём млн унция компания копипаста идиот пандемия ещ это охренеть чёрный лебедь
199,"поднимали чтобы глупые руские зашли, а сами встали в шорт",True,valid,поднимать глупый руский заслать сам встать шорты
202,Пиздецнахуйблеат,True,valid,пиздецнахуйблеат
203,жизнью обиженные фуфлыжники,True,train,жизнь обиженный фуфлыжник
205,"Пошёл нахуй, долбоеб",True,train,пош л нахуй долбоести
206,Сколько у этого мудня аккаунтов,True,train,сколько мудень аккаунт
209,О пятух пятухич вернулся,True,train,пятухнуть пятухич вернуться
211,"аахаха, лосевод завелся, так выхлестнул тебя лошок, что ты 2месяца забыть не можешь дрищь",True,train,аахах лосевод завестись выхлестнуть лошок месяц забыть мочь дрищь
214,"зачем ты Шанти руку отгрыз, изверг?",True,valid,шанти рука отгрызть изверг
217,Сдулся понторез,True,train,сдуться понтореза
221,"Как задолбали идиоты, везде флуд... Раньше за форумами следили людей к порядку приучали, соблюдать темы не флудить, сейчас куда не залезь везде одно и тоже...",True,train,задолбать идиот везде флуда ранний форум следить человек порядок приучать соблюдать тема флудить залезть везде один
223,"Ты вроде говорил, что у тебя большие клиенты, индивидуальный подход и т.п. Мне было бы странно видеть, как такой человек устраивает детский сад и обижается, что его поднимают насмех из-за того, что у тебя здесь нет портфеля, но ты чет советуешь и говоришь подписывайтесь, ставьте лайки. Ну комон. Не оскорбление, если что, просто сам подумай, почему у многих такое отношение к тебе. Еще и Шарку на какой-то хер залазишь и пишешь че у него не так",True,train,вроде говорить больший клиент индивидуальный подход так п странно видеть человек устраивать детский сад обижаться поднимать насмех портфель чета советовать говорить подписываться ставить лайк комон оскорбление просто подумать почему многий такой отношение ты шарка хер залазить писать че
224,Вова петушок убийца. А ты видимо мусорок,True,train,вова петушок убийца видимо мусорока
226,"это зашквар, ты написал что «ща пиндосы зайдут...»",True,train,это зашквара написать сейчас пиндос зайти
227,Брысь отседова попрошайка,True,train,брысь отседов попрошайка
228,"Зашипели упыри. Уверен, кто больше всех обсирает нашу вакцину и правительство-первые псы прозападные побежите вакцинироваться.",True,train,зашипеть упырь уверенный обсираета наш вакцина правительство первый пёс прозападный побежать вакцинироваться
229,"Эту мразь, Трюдо за яйца повесить надо с его менеджментом",True,train,мразь трюдо яйцо повесить менеджмент
230,"Либо тупой чурбан, с  iq как у улитки.",True,train,либо тупой чурбан iq улитка
234,Свали мразь,True,train,свалить мразь
237,Пиздеть не мешками ворочать,True,valid,пиздеть мешок ворочать
239,Очкуны сливают и задерживают,True,valid,очкун сливать задерживать
241,"Дядя пыня молодец, балаболка-пустомеля, в синих трусиках пловец",True,train,дядя пынь молодец балаболка пустомеля синий трусик пловец
242,Самый тупой пост который я читал. Особенно с рекомендацией сливать и мыльный пузырь ?????,True,valid,самый тупой пост который читать особенно рекомендация сливать мыльный пузырь
244,Одним словам ПИНДОСЫ!!!,True,train,один слово пиндос
246,если ты на столько тупой что не можеш отличить шутку от реали то упырь в этом случаи это ты,True,valid,столько тупой можеш отличить шутка реали упырь случай это
247,Пшел нах,True,valid,пойти нах
252,ты чурка что-ли по-русски пиши,True,train,чурка русски писать
253,у тебя на Аве член из кактуса?),True,train,ава член кактус
254,"Сам, с**а дебил по одному центу расставил  и вопит сидит. И кто хомяк?!",True,train,дебил один цент расставить вопить сидеть хомяк
255,Не ненавижу пиздаболов,True,train,ненавидеть пиздабол
256,"Один понял, что я из Прибалтики, другой - что я розовощекий юнец и хам, хотя слова «либерасты» и «лохи» начал употреблять первым. Я из Москвы, господа хорошие, всегда к вашим услугам, если хотите встретиться и обсудить, кто что без Google может.",True,train,понять прибалтика розовощёкий юнец хам хотя слово либераст лох начать употреблять первый москва господин хороший ваш услуга хотеть встретиться обсудить google
257,ты настолько ущербный что я уничтожу тебя полным отсутствием грамматических знаков смотри и мучайся мы свободные люди понимаем друг друга без запятых точек кавычек а то что ты идиот так это ты обозначил своим тупым остроумием,True,train,настолько ущербный уничтожить полный отсутствие грамматический знак смотреть мучиться свободный человек понимать друг друг запятая точка кавычка идиот это обозначить свой тупой остроумие
258,Хоть от бедной Кристины отыбались,True,train,бедный кристина отыбаться
262,Быдло.,True,train,быдло
263,Отскок дохлой кошки,True,train,отскок дохлый кошка
265,точнее это тот самый хрен с горы,True,train,точнее это самый хрен гора
266,Всем тиньковцам раздали по 105 лохотрон блеать,True,train,весь тиньковца раздать лохотрон блеать
269,"я говорю, госпади, какой же ты тупой",True,valid,говорить госпасть тупой
274,"Даунам всегда кто-то что-то должен, а если не дал - петушара. ???",True,train,даун должный дать петушара
279,"не знаю, куда уж ниже это и так пздц...",True,valid,знать ниже это пздца
285,пишите в поддержку и ебите мозги. Вы процент платите не от цены акции а от суммы сделки.,True,train,писать поддержка ебит мозг процент платить цена акция сумма сделка
286,"Пздц, такие люди учат детей, потом удивляемся почему вокруг дебилы ?",True,valid,пздца такой человек учить ребёнок удивляться почему вокруг дебил
288,"Одно слово - вата. С телевизором вместо мозгов. Путин в башке, жопа в говне. А что при Путине бенз вырос в цене с 6  до 45 руб пох. Про украденные несколько лет будущей пенсии пох. По девальвацию нацвалюты пох. Про сокращение в 2 раза числа больниц и поликлиник пох. Про ликвидацию десятков тысяч производственных предприятий пох. И у кого ещё кастрюля на башке? У того, кто это учитывает или у того, кто Вове попу лижет?Вопрос чисто риторический )))",True,train,один слово вата телевизор вместо мозг путин башка жопа говно путин бенз вырасти цена руб пох украсть несколько год будущий пенсия пох девальвация нацвалюта пох сокращение раз число больница поликлиника пох ликвидация десяток тысяча производственный предприятие пох кто ещ кастрюля башка это учитывать вова поп лизать вопрос чисто риторический
292,Господи что за долб...ы недорекламщики тут,True,train,господь долб ы недорекламщик
293,"вот такие консперологи потом кричат путин наше все!!! Про конституцию кричат, чекнутые нодовцы",True,train,такой консперолог кричать путин наш конституция кричать чекнуть нодовца
