за**али; заебал
с**а; сука
Х*йового; хуйовый
еб**том; еблет
пиз**болы; приздабол
з*ебали; заебал
Су*ки; сучка
долбое*бы; долбоеб
***); хуй
извращенцы-спе*матоксикозники; извращенцы-сперматоксикозники
св*лочь; сволочь
пиDoRas*; пидор
бл*дь...; блядь
нах*й; нахуй
Ху*; хуй
вы*ер; высер
На*ен; нахер
г****; говно
г*вне; говно
по*уй; похуй
ху*ню; хуйню
наё*ывают; наебывать
урод*; урод
*геев; гей
х**х; хуй
су**; сука
п*дор; пидор
Пиз*ец; пиздец
На*рен; нахрен
****; хуй
нае*ет; наебать
ДИ*ИЛ; дибил
за*бал; заебал
у****; уебый
на*; нахуй
бл*; бля
П***ц; пиздец
*х*е; ахуй
*****товарищи; пизда товарищи
******я; ахуенная
про*л; проебал
сра*ой; сраная
б**; бля
нае**ли; наебал
п**дец; пиздец
aх*e; ахуй
о*#но; ахуенно
х*ях; хуй
пиз**ц; пиздец
